x,y,idx,heading_rad,curvature,speed_advisory_mps,left_x,left_y,right_x,right_y
1.4210854715202004e-14,2.842170943040401e-14,0,1.3456929884151272,-0.0004315184505717564,90.0,-5.848626278482774,1.3392425675031625,5.8486262784828025,-1.3392425675031057
0.2850927837865173,1.245032966782315,1,1.3451590309325268,-0.00042486899149898834,90.0,-5.562817562387753,2.587398260985282,6.1330031299607874,-0.09733232742065212
0.5899274903109178,2.5699733812994223,2,1.344591026793459,-9.211940328542134e-05,90.0,-5.2572194435093955,3.9156600960625516,6.4370744241312305,1.2242866665362928
0.9129245430105513,3.9730264184736352,3,1.3448533551228479,0.0004279409254063349,90.0,-4.934575201364513,5.317179214665053,6.760424287385616,2.6288736222822178
1.2525043653227528,5.45239725322714,4,1.345820364014251,0.0008261035183662353,90.0,-4.596292452538747,6.790894837591809,7.101301183184252,4.113899668862471
1.6070873806848684,7.006291060482221,5,1.3473959181489625,0.001136568824197332,90.0,-4.2438110522677555,8.335571891326651,7.457985813637492,5.677010229637791
1.9750940125342087,8.632913015161037,6,1.3495055279138122,0.0013829673273972798,90.0,-3.8785956625889613,9.949847784743516,7.828783687657379,7.315978245578558
2.3549446843081228,10.330468292185815,7,1.3520908825642541,0.0015819615831126237,90.0,-3.502130167261358,11.632264813571572,8.212019535877603,9.028671770800058
2.7450598194439433,12.097162066478827,8,1.3551059738898938,0.0017455165759711706,90.0,-3.115913438921339,13.381293081876988,8.606033077809226,10.813031051080666
3.143859841378994,13.931199512962188,9,1.3585142967299242,0.0018823664495272233,90.0,-2.7214560991346044,15.195347019362542,9.009175781892592,12.667052006561834
3.5497651735506213,15.830785806558225,10,1.3622867937880885,0.0019989832165864616,90.0,-2.320278011641371,17.072797482816867,9.419808358742614,14.588774130299582
3.9611962393961533,17.79412612218907,11,1.3664003245483298,0.002100229396088494,90.0,-1.9139063207947786,19.01198075523042,9.836298799587086,16.576271489147718
4.376573462352922,19.819425634776987,12,1.370836509498586,0.00218980568843987,90.0,-1.503873898370828,21.01120532823543,10.257020823076672,18.627645941318544
4.794317265858265,21.90488951924423,13,1.3755808472550124,0.002270563122545169,90.0,-1.0917180984426338,23.068757076220734,10.680352630159163,20.741021962267723
5.212848073349516,24.048722950512964,14,1.3806220329129653,0.002344723979122333,90.0,-0.678979746159091,25.18290324713611,11.104675892858122,22.914542653889818
5.630586308264002,26.2491311035054,15,1.3859514266857331,0.0024140403046780967,90.0,-0.26720230510254606,27.351895571570996,11.52837492163055,25.1463666354398
6.045952394039067,28.50431915314381,16,1.3915626361135098,0.0024799090861681115,90.0,0.14206881843706132,29.573972707207624,11.949835969641072,27.43466559908
6.457366754112035,30.81249227435036,17,1.3974511850278821,0.002543456911310493,90.0,0.5472868659469601,31.847362177039336,12.36744664227711,29.777622371661387
6.863249811920248,33.171855642047326,18,1.4036142494490937,0.0026056028679422075,90.0,0.9469042362531246,34.17028191837881,12.77959538758737,32.17342936571584
7.262021990901035,35.58061443115687,19,1.4100504455936549,0.002667105738797541,90.0,1.3393729330126902,36.54094153015995,13.18467104878938,34.62028733215379
7.652103714491734,38.036973816601254,20,1.4167596587878732,0.002728599735100399,90.0,1.7231449649023016,38.95754328473093,13.581062464081166,37.116404348471576
8.03191540612967,40.539138973302656,21,1.4237429047289754,0.0027906217768169025,90.0,2.0966727101823306,41.418282954792396,13.96715810207701,39.659994991812916
8.399877489252187,43.085315076183356,22,1.4310022164896443,0.0028536324745030025,90.0,2.458409254970509,43.921350494696156,14.341345723533866,42.249279657670556
8.754410387296616,45.67370730016552,23,1.4385405521175447,0.002918032371765009,90.0,2.806808712757821,46.46493060683035,14.702012061835411,44.882483993500685
9.093934523700286,48.30252082017136,24,1.4463617187741309,0.0029841745862123834,90.0,3.1403265313041206,49.04720321748112,15.04754251609645,47.5578384228616
9.416870321900538,50.96996081112315,25,1.4544703101824816,0.0030523746858918052,90.0,3.457419791956135,51.66634388180484,15.376320851844941,50.27357774044146
9.72163820533469,53.67423244794304,26,1.462871654780425,0.0031229184209392307,90.0,3.7565475055583795,54.32052413397111,15.686728905111,53.02794076191497
10.006658597440095,56.413540905553326,27,1.4715717724521824,0.0031960677717167135,90.0,4.036170908418812,57.0079117958502,15.977146286461378,55.819170015256454
10.270351921654084,59.18609135887617,28,1.4805773380750211,0.0032720656579040505,90.0,4.294753761198747,59.72667125560737,16.245950082109424,58.64551146214497
10.511138601413982,61.990088982833825,29,1.4898956503932963,0.0033511395660678124,90.0,4.530762653085167,62.47496372607942,16.4915145497428,61.50521423958823
10.727439060157128,64.82373895234849,30,1.499534604940307,0.0034335042877912058,90.0,4.7426673131418475,65.25094749172364,16.712210807172408,64.39653041297335
10.917673721320853,67.68524644234239,31,1.509502669882957,0.0035193639106538333,90.0,4.928940930299013,68.0527781521679,16.90640651234269,67.31771473251688
11.080263008342493,70.57281662773774,32,1.5198088637762746,0.0036089131660489693,90.0,5.088060483007345,70.87860886988044,17.072465533677644,70.26702438559504
11.213627344659383,73.48465468345675,33,1.5304627342926609,0.0037023382079835942,90.0,5.2185070791302035,73.7265906291718,17.20874761018856,73.24271873774171
11.31618715370886,76.4189657844217,34,1.541474337040545,0.0037998168734946465,90.0,5.3187663061596195,76.59487251359806,17.3136080012581,76.24305905524534
11.386362858928244,79.37395510555473,35,1.5528542136139112,0.003901518456597303,90.0,5.3873285912977025,79.48160200881883,17.385397126558786,79.26630820229063
11.422574883754876,82.34782782177808,36,1.5646133680219014,0.004007603012655566,90.0,5.422689570328085,82.38492533804829,17.422460197181667,82.31073030550787
