-1.6884529,3.6397185,4.2915706
-1.6317419,3.4473264,4.2300638
-1.5685984,3.2578975,4.1694790
-1.4992192,3.0712092,4.1098489
-1.4230485,2.8860776,4.0513598
-1.3405530,2.7041142,3.9933164
-1.2516783,2.5255227,3.9355993
-1.1561174,2.3501037,3.8780527
-1.0538689,2.1783354,3.8200975
-0.9450938,2.0108753,3.7614184
-0.8296895,1.8480297,3.7046738
-0.7073657,1.6899687,3.6885473
-0.5783915,1.5373844,3.6722777
-0.4429562,1.3906155,3.6558604
-0.3012424,1.2499214,3.6392873
-0.1533776,1.1155343,3.6231894
0.0002555,0.9878920,3.6099943
0.1594373,0.8672474,3.6021279
0.3239193,0.7538161,3.6023346
0.4931878,0.6478828,3.6205691
0.6668756,0.5495288,3.6506768
0.8447356,0.4586615,3.6910160
1.0263892,0.3750703,3.7405368
1.2105302,0.2987505,3.7971611
1.3976883,0.2290509,3.8568156
1.5876476,0.1657717,3.9188348
1.7788962,0.1090916,3.9826228
1.9719908,0.0584975,4.0485176
2.1670679,0.0136296,4.1163294
2.3628279,-0.0256040,4.1877474
2.5595247,-0.0597003,4.2624789
2.7575022,-0.0891394,4.3394488
2.9555450,-0.1141827,4.4201525
3.1541701,-0.1353488,4.5032065
3.3535185,-0.1530645,4.5878591
3.5525449,-0.1676497,4.6752167
3.7520612,-0.1795559,4.7634805
3.9517626,-0.1891155,4.8527129
4.1513467,-0.1966456,4.9426864
4.3511512,-0.2024551,5.0327531
4.5509062,-0.2068033,5.1228358
4.7507699,-0.2099362,5.2126168
4.9504965,-0.2120746,5.3021980
5.1504102,-0.2134471,5.3911834
5.3502231,-0.2143014,5.4797182
5.5498390,-0.2147855,5.5678375
5.7497928,-0.2149496,5.6548801
5.9495261,-0.2148619,5.7413513
6.1492572,-0.2145975,5.8269637
6.3491439,-0.2142266,5.9113303
6.5488441,-0.2138045,5.9949725
6.7486443,-0.2133696,6.0773454
6.9484859,-0.2129441,6.1584623
7.1481726,-0.2125375,6.2387653
7.3480137,-0.2121511,6.3175944
7.5478266,-0.2117846,6.3953781
7.7475126,-0.2114361,6.4723800
7.9473727,-0.2111014,6.5479071
8.1471685,-0.2107719,6.6225000
8.3468627,-0.2104340,6.6963062
8.5467258,-0.2100682,6.7685497
8.7465122,-0.2096523,6.8399140
8.9462200,-0.2091613,6.9102754
9.1460744,-0.2085684,6.9707141
9.3458557,-0.2078504,6.9999990
9.5455797,-0.2069837,6.9999990
9.7454171,-0.2059440,6.9999990
9.9451945,-0.2047094,6.9999990
10.1449341,-0.2032606,6.9999990
10.3447488,-0.2015812,6.9999990
10.5445205,-0.1996607,6.9999990
10.7442729,-0.1974903,6.9999990
10.9440607,-0.1950628,6.9999990
11.1438234,-0.1923746,6.9999990
11.3435846,-0.1894231,6.9999990
11.5433431,-0.1862075,6.9999990
11.7430928,-0.1827284,6.9999990
11.9428588,-0.1789870,6.9999990
12.1425864,-0.1749864,6.9999990
12.3423198,-0.1707288,6.9999990
12.5420873,-0.1662168,6.9999990
12.7417823,-0.1614562,6.9999990
