x,y,w_right,w_left
-13.1770,8.5441,2.0000,2.0000
-13.2609,8.4505,2.0000,2.0000
-13.3432,8.3556,2.0000,2.0000
-13.4241,8.2594,2.0000,2.0000
-13.5034,8.1619,2.0000,2.0000
-13.5812,8.0633,2.0000,2.0000
-13.6575,7.9634,2.0000,2.0000
-13.7321,7.8623,2.0000,2.0000
-13.8052,7.7600,2.0000,2.0000
-13.8766,7.6567,2.0000,2.0000
-13.9465,7.5522,2.0000,2.0000
-14.0146,7.4466,2.0000,2.0000
-14.0811,7.3400,2.0000,2.0000
-14.1459,7.2323,2.0000,2.0000
-14.2091,7.1237,2.0000,2.0000
-14.2705,7.0140,2.0000,2.0000
-14.3301,6.9034,2.0000,2.0000
-14.3881,6.7919,2.0000,2.0000
-14.4442,6.6795,2.0000,2.0000
-14.4986,6.5662,2.0000,2.0000
-14.5512,6.4521,2.0000,2.0000
-14.6020,6.3372,2.0000,2.0000
-14.6510,6.2215,2.0000,2.0000
-14.6982,6.1050,2.0000,2.0000
-14.7436,5.9878,2.0000,2.0000
-14.7870,5.8699,2.0000,2.0000
-14.8287,5.7513,2.0000,2.0000
-14.8685,5.6321,2.0000,2.0000
-14.9063,5.5123,2.0000,2.0000
-14.9423,5.3919,2.0000,2.0000
-14.9765,5.2710,2.0000,2.0000
-15.0087,5.1495,2.0000,2.0000
-15.0390,5.0276,2.0000,2.0000
-15.0673,4.9051,2.0000,2.0000
-15.0938,4.7823,2.0000,2.0000
-15.1183,4.6591,2.0000,2.0000
-15.1409,4.5354,2.0000,2.0000
-15.1615,4.4115,2.0000,2.0000
-15.1802,4.2872,2.0000,2.0000
-15.1969,4.1627,2.0000,2.0000
-15.2117,4.0379,2.0000,2.0000
-15.2245,3.9129,2.0000,2.0000
-15.2353,3.7877,2.0000,2.0000
-15.2442,3.6623,2.0000,2.0000
-15.2511,3.5369,2.0000,2.0000
-15.2561,3.4113,2.0000,2.0000
-15.2590,3.2857,2.0000,2.0000
-15.2600,3.1600,2.0000,2.0000
-15.2590,3.0343,2.0000,2.0000
-15.2561,2.9087,2.0000,2.0000
-15.2511,2.7831,2.0000,2.0000
-15.2442,2.6577,2.0000,2.0000
-15.2353,2.5323,2.0000,2.0000
-15.2245,2.4071,2.0000,2.0000
-15.2117,2.2821,2.0000,2.0000
-15.1969,2.1573,2.0000,2.0000
-15.1802,2.0328,2.0000,2.0000
-15.1615,1.9085,2.0000,2.0000
-15.1409,1.7846,2.0000,2.0000
-15.1183,1.6609,2.0000,2.0000
-15.0938,1.5377,2.0000,2.0000
-15.0673,1.4149,2.0000,2.0000
-15.0390,1.2924,2.0000,2.0000
-15.0087,1.1705,2.0000,2.0000
-14.9765,1.0490,2.0000,2.0000
-14.9423,0.9281,2.0000,2.0000
-14.9063,0.8077,2.0000,2.0000
-14.8685,0.6879,2.0000,2.0000
-14.8287,0.5687,2.0000,2.0000
-14.7870,0.4501,2.0000,2.0000
-14.7436,0.3322,2.0000,2.0000
-14.6982,0.2150,2.0000,2.0000
-14.6510,0.0985,2.0000,2.0000
-14.6020,-0.0172,2.0000,2.0000
-14.5512,-0.1321,2.0000,2.0000
-14.4986,-0.2462,2.0000,2.0000
-14.4442,-0.3595,2.0000,2.0000
-14.3881,-0.4719,2.0000,2.0000
-14.3301,-0.5834,2.0000,2.0000
-14.2705,-0.6940,2.0000,2.0000
-14.2091,-0.8037,2.0000,2.0000
-14.1459,-0.9123,2.0000,2.0000
-14.0811,-1.0200,2.0000,2.0000
-14.0146,-1.1266,2.0000,2.0000
-13.9465,-1.2322,2.0000,2.0000
-13.8766,-1.3367,2.0000,2.0000
-13.8052,-1.4400,2.0000,2.0000
-13.7321,-1.5423,2.0000,2.0000
-13.6575,-1.6434,2.0000,2.0000
-13.5812,-1.7433,2.0000,2.0000
-13.5034,-1.8419,2.0000,2.0000
-13.4241,-1.9394,2.0000,2.0000
-13.3432,-2.0356,2.0000,2.0000
-13.2609,-2.1305,2.0000,2.0000
-13.1770,-2.2241,2.0000,2.0000
-13.0917,-2.3164,2.0000,2.0000
-13.0050,-2.4073,2.0000,2.0000
-12.9169,-2.4969,2.0000,2.0000
-12.8273,-2.5850,2.0000,2.0000
-12.7364,-2.6717,2.0000,2.0000
-12.6441,-2.7570,2.0000,2.0000
-12.5505,-2.8409,2.0000,2.0000
-12.4556,-2.9232,2.0000,2.0000
-12.3594,-3.0041,2.0000,2.0000
-12.2619,-3.0834,2.0000,2.0000
-12.1633,-3.1612,2.0000,2.0000
-12.0634,-3.2375,2.0000,2.0000
-11.9623,-3.3121,2.0000,2.0000
-11.8600,-3.3852,2.0000,2.0000
-11.7567,-3.4566,2.0000,2.0000
-11.6522,-3.5265,2.0000,2.0000
-11.5466,-3.5946,2.0000,2.0000
-11.4400,-3.6611,2.0000,2.0000
-11.3323,-3.7259,2.0000,2.0000
-11.2237,-3.7891,2.0000,2.0000
-11.1140,-3.8505,2.0000,2.0000
-11.0034,-3.9101,2.0000,2.0000
-10.8919,-3.9681,2.0000,2.0000
-10.7795,-4.0242,2.0000,2.0000
-10.6662,-4.0786,2.0000,2.0000
-10.5521,-4.1312,2.0000,2.0000
-10.4372,-4.1820,2.0000,2.0000
-10.3215,-4.2310,2.0000,2.0000
-10.2050,-4.2782,2.0000,2.0000
-10.0878,-4.3236,2.0000,2.0000
-9.9699,-4.3670,2.0000,2.0000
-9.8513,-4.4087,2.0000,2.0000
-9.7321,-4.4485,2.0000,2.0000
-9.6123,-4.4863,2.0000,2.0000
-9.4919,-4.5223,2.0000,2.0000
-9.3710,-4.5565,2.0000,2.0000
-9.2495,-4.5887,2.0000,2.0000
-9.1276,-4.6190,2.0000,2.0000
-9.0051,-4.6473,2.0000,2.0000
-8.8823,-4.6738,2.0000,2.0000
-8.7591,-4.6983,2.0000,2.0000
-8.6354,-4.7209,2.0000,2.0000
-8.5115,-4.7415,2.0000,2.0000
-8.3872,-4.7602,2.0000,2.0000
-8.2627,-4.7769,2.0000,2.0000
-8.1379,-4.7917,2.0000,2.0000
-8.0129,-4.8045,2.0000,2.0000
-7.8877,-4.8153,2.0000,2.0000
-7.7623,-4.8242,2.0000,2.0000
-7.6369,-4.8311,2.0000,2.0000
