x,y,w_right,w_left
9.8200,5.0400,0.8100,0.8100
9.8100,5.0400,0.8100,0.8100
9.8000,5.0400,0.8100,0.8100
9.7900,5.0400,0.8100,0.8100
9.7800,5.0400,0.8100,0.8100
9.7700,5.0400,0.8100,0.8100
9.7600,5.0400,0.8100,0.8100
9.7500,5.0400,0.8100,0.8100
9.7400,5.0400,0.8100,0.8100
9.7300,5.0400,0.8093,0.8093
9.7200,5.0400,0.8080,0.8080
9.7100,5.0400,0.8067,0.8067
9.7000,5.0400,0.8055,0.8055
9.6900,5.0400,0.8045,0.8045
9.6800,5.0400,0.8035,0.8035
9.6700,5.0400,0.8027,0.8027
9.6600,5.0400,0.8020,0.8020
9.6500,5.0400,0.8014,0.8014
9.6400,5.0500,0.8109,0.8109
9.6300,5.0500,0.8105,0.8105
9.6200,5.0500,0.8102,0.8102
9.6100,5.0500,0.8101,0.8101
9.6000,5.0500,0.8100,0.8100
9.5900,5.0500,0.8100,0.8100
9.5800,5.0500,0.8100,0.8100
9.5700,5.0500,0.8100,0.8100
9.5600,5.0500,0.8100,0.8100
9.5500,5.0500,0.8100,0.8100
9.5400,5.0500,0.8100,0.8100
9.5300,5.0500,0.8100,0.8100
9.5200,5.0500,0.8100,0.8100
9.5100,5.0500,0.8100,0.8100
9.5000,5.0500,0.8093,0.8093
9.4900,5.0500,0.8080,0.8080
9.4800,5.0500,0.8067,0.8067
9.4700,5.0500,0.8055,0.8055
9.4600,5.0500,0.8045,0.8045
9.4500,5.0500,0.8035,0.8035
9.4400,5.0500,0.8027,0.8027
9.4300,5.0500,0.8020,0.8020
9.4200,5.0500,0.8014,0.8014
9.4100,5.0500,0.8009,0.8009
9.4000,5.0500,0.8005,0.8005
9.3900,5.0500,0.8002,0.8002
9.3800,5.0500,0.8001,0.8001
9.3700,5.0500,0.8000,0.8000
9.3600,5.0500,0.8000,0.8000
9.3500,5.0500,0.8000,0.8000
9.3400,5.0600,0.8100,0.8100
9.3300,5.0600,0.8100,0.8100
9.3200,5.0600,0.8100,0.8100
9.3100,5.0600,0.8100,0.8100
9.3000,5.0600,0.8100,0.8100
9.2900,5.0600,0.8100,0.8100
