x,y,idx,heading_rad,curvature_1_per_m,speed_advisory_m_per_s,left_x,left_y,right_x,right_y
52.276699520665886,0.0,0,1.2708964120449715,0.021476595092186454,40.0,48.48647382371167,1.1720385702724014,56.0669252176201,-1.1720385702724014
52.37337059515655,0.3126221269335317,1,1.2779266534162277,0.03234179970095821,40.0,48.55513279039241,1.4639761970717038,56.19160839992069,-0.8387319432046405
52.46557548672977,0.6263697438876626,2,1.2920626434558882,0.04345225814685656,40.0,48.611662070823,1.7292973257233224,56.319488902636536,-0.4765578379479972
52.55325559997521,0.941186726104448,3,1.3063368901279082,0.04389275017188266,40.0,48.664305405248705,1.9943232453410826,56.442205794701714,-0.11194979313218667
52.63635586503263,1.2570157934024768,4,1.3207416302040498,0.04431006937936222,40.0,48.71306039531996,2.2590261814543435,56.5596513347453,0.25500540535061034
52.71482479021829,1.57379860287174,5,1.335268883652921,0.04470330754676035,40.0,48.75792742451991,2.5233805794311235,56.67172215591666,0.6242166263123562
52.78861450915738,1.8914758428917926,6,1.3499104608732508,0.04507157781655075,40.0,48.79890950355021,2.7873631853867646,56.77831951476454,0.9955885003968207
52.857680822366376,2.209987328292432,7,1.3646579713951836,0.04541402155327039,40.0,48.83601210835849,3.0509531101548397,56.879349536374264,1.3690215464300242
52.92198323323823,2.529272096474525,8,1.3795028340404365,0.04572981518378741,40.0,48.869243012344015,3.3141318756616607,56.974723454132445,1.7444123172873893
52.98148497839365,2.849268504307407,9,1.3944362885174497,0.04601817694744143,40.0,48.89861211436793,3.576883443224537,57.064357842419376,2.1216535653902766
53.03615305237059,3.1699143256183593,10,1.4094494084125808,0.04627837347783935,40.0,48.92413126426162,3.8391942234867136,57.148174840479555,2.500634427750005
53.085958226634155,3.491146849089194,11,1.4245331155215668,0.0465097261390637,40.0,48.94581408757422,4.1010530679126616,57.22610236569409,2.8812406302657263
53.130875062899015,3.812902976374773,12,1.4396781954517932,0.04671161703966954,40.0,48.96367581131952,4.36245124197381,57.29807431447851,3.263354710775736
53.17088192076528,4.135119320258469,13,1.454875314409777,0.04688349464792867,40.0,48.97773309247702,4.623382380376908,57.36403074905355,3.64685626014003
53.20596095967954,4.457732302660166,14,1.4701150370745735,0.04702487893778208,40.0,48.98800385096988,4.883842424902482,57.42391806838919,4.031622180417851
53.23609813524135,4.780678252313197,15,1.4853878454450427,0.047135365997907866,40.0,48.994507108781136,5.143829545631975,57.47768916170156,4.417526958994419
53.261283189885766,5.103893501927952,16,1.5006841585361577,0.04721463204393344,40.0,48.99726283678346,5.40334404655029,57.52530354298807,4.804442957305613
53.28150963798156,5.427314484661409,17,1.5159943527903046,0.047262436781167746,40.0,48.99629181074462,5.6623882566972545,57.56672746521849,5.192240712625563
53.2967747453941,5.750877829713792,18,1.5313087830597139,0.04727862607342089,40.0,48.99161547783393,5.920966408221673,57.601934012954274,5.5807892512059105
53.30707950357172,6.07452045687583,19,1.5466178040100733,0.0472631338853098,40.0,48.98325583479697,6.179084502843721,57.63090317234647,5.9699564109079395
53.3124285982226,6.398179669852685,20,1.5619117917907117,0.04721598347376266,40.0,48.97123531878829,6.436750168362707,57.65362187765692,6.3596091713426635
53.312830372659114,6.721793248193543,21,1.5771811658132817,0.04713728781709121,40.0,48.95557671165987,6.693972506956417,57.670084033658355,6.749613989430669
53.30829678589485,7.045299537659149,22,1.5924164104814564,0.04702724928212744,40.0,48.9363030582992,6.950761937091281,57.680290513490505,7.139837138227017
53.29884336558842,7.368637538863048,23,1.6076080967154698,0.04688615853920365,40.0,48.91343759939943,7.207130030912119,57.684249131777406,7.530145046813977
53.284489155936406,7.691746994026272,24,1.6227469031188377,0.046714392747455306,40.0,48.887003718829945,7.463089348999557,57.68197459304287,7.920404639052987
53.265256660626605,8.014568471689318,25,1.6378236366410845,0.04651241304494721,40.0,48.85702490556262,7.718653274367925,57.67348841569059,8.310483669010711
53.241171780970134,8.337043449229746,26,1.6528292525986434,0.04628076138516921,40.0,48.82352472990095,7.973835847532062,57.658818832039316,8.700251050927431
53.212263749339,8.659114393038474,27,1.667754873924448,0.046020056771303886,40.0,48.78652683356078,8.228651604406538,57.638000665117225,9.089577181670409
53.178565058043745,8.980724836212856,28,1.6825918095289834,0.04573099094997571,40.0,48.74605493296616,8.48311541869954,57.61107518312133,9.478334253726171
53.14011138379236,9.301819453629966,29,1.6973315716684498,0.04541432362935665,40.0,48.702132834954625,8.737242350341837,57.57808993263009,9.866396556918094
53.096941507879194,9.622344134268923,30,1.7119658922282346,0.045070877292056485,40.0,48.654784463935776,8.991047501355261,57.53909855182261,10.253640767182585
53.04909723225921,9.942246050657005,31,1.7264867378449873,0.04470153167942156,40.0,48.60403389941848,9.244545880404404,57.49416056509993,10.639946220909605
52.99662329166944,10.261473725320242,32,1.7408863238062118,0.0443072180227627,40.0,48.54990542271659,9.497752277101224,57.44334116062228,11.02519517353926
52.93956726196529,10.579977094125322,33,1.7551571266801398,0.04388891309854754,40.0,48.49242357155963,9.75068114695761,57.38671095237095,11.409273041293034
52.877979464845964,10.897707566406268,34,1.7692918956451438,0.043447633185290276,40.0,48.43161320127922,10.003346507689121,57.32434572841271,11.792068625123415
52.81191286914768,11.214618081775704,35,1.783283662502543,0.04298442799502116,40.0,48.3674995512069,10.255761847386292,57.25632618708847,12.173474316165116
52.741422988889624,11.530663163527553,36,1.7971257503706566,0.04250037465097875,40.0,48.30010831490966,10.507940044885611,57.18273766286959,12.553386282169495
