# x_m,y_m,w_tr_right_m,w_tr_left_m
-10.2900,4.1300,0.8000,0.8000
-10.3000,4.1300,0.8000,0.8000
-10.3100,4.1300,0.8000,0.8000
-10.3200,4.1300,0.8000,0.8000
-10.3300,4.1300,0.7999,0.7999
-10.3400,4.1300,0.7974,0.7974
-10.3500,4.1300,0.7950,0.7950
-10.3600,4.1300,0.7927,0.7927
-10.3700,4.1300,0.7905,0.7905
-10.3800,4.1300,0.7884,0.7884
-10.3900,4.1300,0.7865,0.7865
-10.4000,4.1300,0.7846,0.7846
-10.4100,4.1300,0.7828,0.7828
-10.4200,4.1300,0.7812,0.7812
-10.4300,4.1300,0.7797,0.7797
-10.4400,4.1300,0.7782,0.7782
-10.4500,4.1300,0.7769,0.7769
-10.4600,4.1300,0.7757,0.7757
-10.4700,4.1300,0.7746,0.7746
-10.4800,4.1300,0.7737,0.7737
-10.4900,4.1300,0.7728,0.7728
-10.5000,4.1300,0.7721,0.7721
-10.5100,4.1300,0.7714,0.7714
-10.5200,4.1300,0.7709,0.7709
-10.5300,4.1300,0.7705,0.7705
-10.5400,4.1300,0.7702,0.7702
-10.5500,4.1400,0.7801,0.7801
-10.5600,4.1400,0.7800,0.7800
-10.5700,4.1400,0.7800,0.7800
-10.5800,4.1400,0.7800,0.7800
-10.5900,4.1400,0.7800,0.7800
-10.6000,4.1400,0.7800,0.7800
-10.6100,4.1400,0.7800,0.7800
-10.6200,4.1400,0.7800,0.7800
-10.6300,4.1400,0.7800,0.7800
-10.6400,4.1400,0.7800,0.7800
-10.6500,4.1400,0.7800,0.7800
-10.6600,4.1400,0.7800,0.7800
-10.6700,4.1400,0.7800,0.7800
-10.6800,4.1400,0.7800,0.7800
-10.6900,4.1400,0.7800,0.7800
-10.7000,4.1300,0.7700,0.7700
-10.7100,4.1300,0.7700,0.7700
-10.7200,4.1300,0.7700,0.7700
-10.7300,4.1300,0.7700,0.7700
-10.7400,4.1300,0.7700,0.7700
-10.7500,4.1300,0.7700,0.7700
-10.7600,4.1300,0.7700,0.7700
-10.7700,4.1300,0.7700,0.7700
-10.7800,4.1300,0.7700,0.7700
