# x_m,y_m,w_tr_right_m,w_tr_left_m
-12.8300,1.4600,0.9791,0.9791
-12.8200,1.4500,0.9734,0.9734
-12.8200,1.4400,0.9770,0.9770
-12.8100,1.4300,0.9715,0.9715
-12.8100,1.4200,0.9754,0.9754
-12.8100,1.4100,0.9794,0.9794
-12.8000,1.4000,0.9742,0.9742
-12.8000,1.3900,0.9784,0.9784
-12.8000,1.3800,0.9826,0.9826
-12.8000,1.3700,0.9869,0.9869
-12.7900,1.3600,0.9823,0.9823
-12.7900,1.3500,0.9867,0.9867
-12.7800,1.3400,0.9824,0.9824
-12.7800,1.3300,0.9863,0.9863
-12.7700,1.3200,0.9808,0.9808
-12.7700,1.3100,0.9846,0.9846
-12.7700,1.3000,0.9885,0.9885
-12.7600,1.2900,0.9834,0.9834
-12.7600,1.2800,0.9875,0.9875
-12.7600,1.2700,0.9917,0.9917
-12.7500,1.2600,0.9869,0.9869
-12.7500,1.2500,0.9912,0.9912
-12.7400,1.2400,0.9867,0.9867
-12.7400,1.2300,0.9913,0.9913
-12.7300,1.2200,0.9871,0.9871
-12.7300,1.2100,0.9918,0.9918
-12.7300,1.2000,0.9966,0.9966
-12.7200,1.1900,0.9920,0.9920
-12.7200,1.1800,0.9948,0.9948
-12.7100,1.1700,0.9881,0.9881
-12.7100,1.1600,0.9911,0.9911
-12.7100,1.1500,0.9942,0.9942
-12.7000,1.1400,0.9878,0.9878
-12.7000,1.1300,0.9911,0.9911
-12.6900,1.1200,0.9850,0.9850
-12.6900,1.1100,0.9885,0.9885
-12.6800,1.1000,0.9827,0.9827
-12.6800,1.0900,0.9863,0.9863
-12.6700,1.0800,0.9808,0.9808
-12.6700,1.0700,0.9846,0.9846
-12.6600,1.0600,0.9794,0.9794
-12.6600,1.0500,0.9834,0.9834
-12.6600,1.0400,0.9875,0.9875
-12.6500,1.0300,0.9826,0.9826
-12.6500,1.0200,0.9869,0.9869
-12.6400,1.0100,0.9823,0.9823
-12.6400,1.0000,0.9867,0.9867
-12.6300,0.9900,0.9824,0.9824
-12.6300,0.9800,0.9871,0.9871
-12.6200,0.9700,0.9830,0.9830
-12.6200,0.9600,0.9878,0.9878
-12.6200,0.9500,0.9925,0.9925
-12.6100,0.9400,0.9875,0.9875
-12.6100,0.9300,0.9917,0.9917
-12.6000,0.9200,0.9869,0.9869
-12.6000,0.9100,0.9912,0.9912
-12.5900,0.9000,0.9867,0.9867
-12.5900,0.8900,0.9913,0.9913
-12.5800,0.8800,0.9863,0.9863
-12.5800,0.8700,0.9900,0.9900
-12.5700,0.8600,0.9846,0.9846
-12.5700,0.8500,0.9885,0.9885
-12.5600,0.8400,0.9834,0.9834
-12.5600,0.8300,0.9875,0.9875
-12.5500,0.8200,0.9826,0.9826
-12.5500,0.8100,0.9869,0.9869
-12.5400,0.8000,0.9823,0.9823
-12.5400,0.7900,0.9867,0.9867
-12.5300,0.7800,0.9824,0.9824
-12.5300,0.7700,0.9871,0.9871
-12.5200,0.7600,0.9830,0.9830
-12.5200,0.7500,0.9875,0.9875
-12.5100,0.7400,0.9826,0.9826
-12.5100,0.7300,0.9869,0.9869
-12.5000,0.7200,0.9823,0.9823
-12.5000,0.7100,0.9867,0.9867
-12.4900,0.7000,0.9823,0.9823
-12.4900,0.6900,0.9863,0.9863
-12.4900,0.6800,0.9900,0.9900
-12.4800,0.6700,0.9846,0.9846
-12.4800,0.6600,0.9885,0.9885
-12.4700,0.6500,0.9834,0.9834
-12.4700,0.6400,0.9875,0.9875
-12.4600,0.6300,0.9826,0.9826
-12.4600,0.6200,0.9869,0.9869
-12.4500,0.6100,0.9823,0.9823
-12.4500,0.6000,0.9867,0.9867
-12.4400,0.5900,0.9824,0.9824
-12.4400,0.5800,0.9871,0.9871
-12.4300,0.5700,0.9830,0.9830
-12.4300,0.5600,0.9867,0.9867
-12.4300,0.5500,0.9823,0.9823
-12.4200,0.5400,0.9869,0.9869
-12.4200,0.5300,0.9826,0.9826
-12.4100,0.5200,0.9875,0.9875
-12.4100,0.5100,0.9834,0.9834
-12.4000,0.5000,0.9878,0.9878
-12.4000,0.4900,0.9830,0.9830
-12.3900,0.4800,0.9871,0.9871
-12.3900,0.4700,0.9824,0.9824
-12.3800,0.4600,0.9867,0.9867
-12.3800,0.4500,0.9823,0.9823
-12.3700,0.4400,0.9869,0.9869
-12.3700,0.4300,0.9826,0.9826
-12.3600,0.4200,0.9875,0.9875
-12.3600,0.4100,0.9834,0.9834
-12.3500,0.4000,0.9885,0.9885
-12.3400,0.3900,0.9938,0.9938
-12.3400,0.3800,0.9900,0.9900
-12.3300,0.3700,0.9956,0.9956
-12.3200,0.3600,1.0002,1.0002
-12.3200,0.3500,0.9959,0.9959
-12.3200,0.3400,0.9917,0.9917
-12.3100,0.3300,0.9966,0.9966
-12.3100,0.3200,0.9925,0.9925
-12.3000,0.3100,0.9977,0.9977
-12.2900,0.3000,1.0015,1.0015
-12.2900,0.2900,0.9966,0.9966
-12.2800,0.2800,1.0006,1.0006
-12.2800,0.2700,0.9959,0.9959
-12.2700,0.2600,1.0002,1.0002
-12.2600,0.2500,1.0046,1.0046
-12.2600,0.2400,1.0002,1.0002
-12.2500,0.2300,1.0049,1.0049
-12.2500,0.2200,1.0007,1.0007
-12.2400,0.2100,1.0057,1.0057
-12.2400,0.2000,1.0015,1.0015
-12.2300,0.1900,1.0054,1.0054
-12.2200,0.1800,1.0094,1.0094
-12.2200,0.1700,1.0048,1.0048
-12.2100,0.1600,1.0091,1.0091
-12.2100,0.1500,1.0046,1.0046
-12.2000,0.1400,1.0091,1.0091
-12.2000,0.1300,1.0045,1.0045
-12.1900,0.1200,1.0079,1.0079
-12.1800,0.1100,1.0114,1.0114
-12.1800,0.1000,1.0064,1.0064
-12.1700,0.0900,1.0102,1.0102
-12.1600,0.0800,1.0141,1.0141
-12.1600,0.0700,1.0094,1.0094
-12.1500,0.0600,1.0136,1.0136
-12.1500,0.0500,1.0091,1.0091
-12.1400,0.0400,1.0136,1.0136
-12.1400,0.0300,1.0092,1.0092
-12.1300,0.0200,1.0140,1.0140
-12.1200,0.0100,1.0189,1.0189
-12.1200,0.0000,1.0149,1.0149
-12.1100,-0.0100,1.0189,1.0189
-12.1000,-0.0200,1.0229,1.0229
-12.1000,-0.0300,1.0183,1.0183
-12.0900,-0.0400,1.0225,1.0225
-12.0800,-0.0500,1.0270,1.0270
-12.0800,-0.0600,1.0226,1.0226
-12.0700,-0.0700,1.0268,1.0268
-12.0700,-0.0800,1.0216,1.0216
-12.0600,-0.0900,1.0251,1.0251
-12.0600,-0.1000,1.0200,1.0200
-12.0500,-0.1100,1.0238,1.0238
-12.0400,-0.1200,1.0277,1.0277
-12.0400,-0.1300,1.0229,1.0229
-12.0300,-0.1400,1.0271,1.0271
-12.0200,-0.1500,1.0315,1.0315
-12.0200,-0.1600,1.0261,1.0261
-12.0100,-0.1700,1.0290,1.0290
-12.0100,-0.1800,1.0236,1.0236
-12.0000,-0.1900,1.0268,1.0268
-12.0000,-0.2000,1.0216,1.0216
-11.9900,-0.2100,1.0251,1.0251
-11.9800,-0.2200,1.0287,1.0287
-11.9800,-0.2300,1.0238,1.0238
-11.9700,-0.2400,1.0277,1.0277
-11.9600,-0.2500,1.0318,1.0318
-11.9500,-0.2600,1.0360,1.0360
-11.9500,-0.2700,1.0315,1.0315
-11.9400,-0.2800,1.0360,1.0360
-11.9400,-0.2900,1.0315,1.0315
-11.9300,-0.3000,1.0360,1.0360
-11.9300,-0.3100,1.0316,1.0316
-11.9200,-0.3200,1.0364,1.0364
-11.9100,-0.3300,1.0413,1.0413
-11.9100,-0.3400,1.0365,1.0365
-11.9000,-0.3500,1.0406,1.0406
-11.8900,-0.3600,1.0449,1.0449
-11.8900,-0.3700,1.0404,1.0404
